Geography,Date,Type,Percent Change from Baseline,ID Geography
"New Jersey","2020/05/13","Transit Stations",-58,"04000US34"
"New Jersey","2020/05/14","Transit Stations",-58,"04000US34"
"New Jersey","2020/05/15","Transit Stations",-57,"04000US34"
"New Jersey","2020/05/16","Transit Stations",-49,"04000US34"
"New Jersey","2020/05/17","Transit Stations",-57,"04000US34"
"New Jersey","2020/05/18","Transit Stations",-59,"04000US34"
"New Jersey","2020/05/19","Transit Stations",-57,"04000US34"
"New Jersey","2020/05/20","Transit Stations",-56,"04000US34"
"New Jersey","2020/05/21","Transit Stations",-54,"04000US34"
"New Jersey","2020/05/22","Transit Stations",-56,"04000US34"
"New Jersey","2020/05/23","Transit Stations",-56,"04000US34"
"New Jersey","2020/05/24","Transit Stations",-52,"04000US34"
"New Jersey","2020/05/25","Transit Stations",-65,"04000US34"
"New Jersey","2020/05/26","Transit Stations",-53,"04000US34"
"New Jersey","2020/05/27","Transit Stations",-52,"04000US34"
"New Jersey","2020/05/28","Transit Stations",-55,"04000US34"
"New Jersey","2020/05/29","Transit Stations",-54,"04000US34"
"New Jersey","2020/05/30","Transit Stations",-42,"04000US34"
"New Jersey","2020/05/31","Transit Stations",-46,"04000US34"
"New Jersey","2020/06/01","Transit Stations",-52,"04000US34"
"New Jersey","2020/06/02","Transit Stations",-53,"04000US34"
"New Jersey","2020/06/03","Transit Stations",-53,"04000US34"
"New Jersey","2020/06/04","Transit Stations",-51,"04000US34"
"New Jersey","2020/06/05","Transit Stations",-53,"04000US34"
"New Jersey","2020/06/06","Transit Stations",-41,"04000US34"
"New Jersey","2020/06/07","Transit Stations",-44,"04000US34"
"New Jersey","2020/06/08","Transit Stations",-51,"04000US34"
"New Jersey","2020/06/09","Transit Stations",-50,"04000US34"
"New Jersey","2020/06/10","Transit Stations",-49,"04000US34"
"New Jersey","2020/06/11","Transit Stations",-52,"04000US34"
"New Jersey","2020/06/12","Transit Stations",-46,"04000US34"
"New Jersey","2020/06/13","Transit Stations",-35,"04000US34"
"New Jersey","2020/06/14","Transit Stations",-42,"04000US34"
"New Jersey","2020/06/15","Transit Stations",-47,"04000US34"
"New Jersey","2020/06/16","Transit Stations",-46,"04000US34"
"New Jersey","2020/06/17","Transit Stations",-45,"04000US34"
"New Jersey","2020/06/18","Transit Stations",-46,"04000US34"
"New Jersey","2020/06/19","Transit Stations",-43,"04000US34"
"New Jersey","2020/06/20","Transit Stations",-33,"04000US34"
"New Jersey","2020/06/21","Transit Stations",-38,"04000US34"
"New Jersey","2020/06/22","Transit Stations",-45,"04000US34"
"New Jersey","2020/06/23","Transit Stations",-44,"04000US34"
"New Jersey","2020/06/24","Transit Stations",-42,"04000US34"
"New Jersey","2020/06/25","Transit Stations",-42,"04000US34"
"New Jersey","2020/06/26","Transit Stations",-39,"04000US34"
"New Jersey","2020/06/27","Transit Stations",-30,"04000US34"
"New Jersey","2020/06/28","Transit Stations",-35,"04000US34"
"New Jersey","2020/06/29","Transit Stations",-41,"04000US34"
"New Jersey","2020/06/30","Transit Stations",-43,"04000US34"
"New Jersey","2020/07/01","Transit Stations",-41,"04000US34"
"New Jersey","2020/07/02","Transit Stations",-36,"04000US34"
"New Jersey","2020/07/03","Transit Stations",-41,"04000US34"
"New Jersey","2020/07/04","Transit Stations",-36,"04000US34"
"New Jersey","2020/07/05","Transit Stations",-30,"04000US34"
"New Jersey","2020/07/06","Transit Stations",-41,"04000US34"
"New Jersey","2020/07/07","Transit Stations",-39,"04000US34"
"New Jersey","2020/07/08","Transit Stations",-41,"04000US34"
"New Jersey","2020/07/09","Transit Stations",-40,"04000US34"
"New Jersey","2020/07/10","Transit Stations",-49,"04000US34"
"New Jersey","2020/07/11","Transit Stations",-29,"04000US34"
"New Jersey","2020/07/12","Transit Stations",-28,"04000US34"
"New Jersey","2020/07/13","Transit Stations",-42,"04000US34"
"New Jersey","2020/07/14","Transit Stations",-41,"04000US34"
"New Jersey","2020/07/15","Transit Stations",-41,"04000US34"
"New Jersey","2020/07/16","Transit Stations",-41,"04000US34"
"New Jersey","2020/07/17","Transit Stations",-40,"04000US34"
"New Jersey","2020/07/18","Transit Stations",-25,"04000US34"
"New Jersey","2020/07/19","Transit Stations",-31,"04000US34"
"New Jersey","2020/07/20","Transit Stations",-43,"04000US34"
"New Jersey","2020/07/21","Transit Stations",-43,"04000US34"
"New Jersey","2020/07/22","Transit Stations",-44,"04000US34"
"New Jersey","2020/07/23","Transit Stations",-43,"04000US34"
"New Jersey","2020/07/24","Transit Stations",-42,"04000US34"
"New Jersey","2020/07/25","Transit Stations",-24,"04000US34"
"New Jersey","2020/07/26","Transit Stations",-32,"04000US34"
"New Jersey","2020/07/27","Transit Stations",-42,"04000US34"
"New Jersey","2020/07/28","Transit Stations",-43,"04000US34"
"New Jersey","2020/07/29","Transit Stations",-40,"04000US34"
"New Jersey","2020/07/30","Transit Stations",-41,"04000US34"
"New Jersey","2020/07/31","Transit Stations",-38,"04000US34"
"New Jersey","2020/08/01","Transit Stations",-21,"04000US34"
"New Jersey","2020/08/02","Transit Stations",-32,"04000US34"
"New Jersey","2020/08/03","Transit Stations",-40,"04000US34"
"New Jersey","2020/08/04","Transit Stations",-52,"04000US34"
"New Jersey","2020/08/05","Transit Stations",-36,"04000US34"
"New Jersey","2020/08/06","Transit Stations",-38,"04000US34"
"New Jersey","2020/08/07","Transit Stations",-40,"04000US34"
"New Jersey","2020/08/08","Transit Stations",-22,"04000US34"
"New Jersey","2020/08/09","Transit Stations",-27,"04000US34"
"New Jersey","2020/08/10","Transit Stations",-40,"04000US34"
"New Jersey","2020/08/11","Transit Stations",-40,"04000US34"
"New Jersey","2020/08/12","Transit Stations",-41,"04000US34"
"New Jersey","2020/08/13","Transit Stations",-41,"04000US34"
"New Jersey","2020/08/14","Transit Stations",-37,"04000US34"
"New Jersey","2020/08/15","Transit Stations",-22,"04000US34"
"New Jersey","2020/08/16","Transit Stations",-36,"04000US34"
"New Jersey","2020/08/17","Transit Stations",-40,"04000US34"
"New Jersey","2020/08/18","Transit Stations",-40,"04000US34"
"New Jersey","2020/08/19","Transit Stations",-41,"04000US34"
"New Jersey","2020/08/20","Transit Stations",-37,"04000US34"
"New Jersey","2020/08/21","Transit Stations",-35,"04000US34"
"New Jersey","2020/08/22","Transit Stations",-21,"04000US34"
"New Jersey","2020/08/23","Transit Stations",-27,"04000US34"
"New Jersey","2020/08/24","Transit Stations",-41,"04000US34"
"New Jersey","2020/08/25","Transit Stations",-41,"04000US34"
"New Jersey","2020/08/26","Transit Stations",-38,"04000US34"
"New Jersey","2020/08/27","Transit Stations",-39,"04000US34"
"New Jersey","2020/08/28","Transit Stations",-37,"04000US34"
"New Jersey","2020/08/29","Transit Stations",-29,"04000US34"
"New Jersey","2020/08/30","Transit Stations",-22,"04000US34"
"New Jersey","2020/08/31","Transit Stations",-39,"04000US34"
"New Jersey","2020/09/01","Transit Stations",-40,"04000US34"
"New Jersey","2020/09/02","Transit Stations",-41,"04000US34"
"New Jersey","2020/09/03","Transit Stations",-38,"04000US34"
"New Jersey","2020/09/04","Transit Stations",-34,"04000US34"
"New Jersey","2020/09/05","Transit Stations",-19,"04000US34"
"New Jersey","2020/09/06","Transit Stations",-25,"04000US34"
"New Jersey","2020/09/07","Transit Stations",-47,"04000US34"
"New Jersey","2020/09/08","Transit Stations",-39,"04000US34"
"New Jersey","2020/09/09","Transit Stations",-40,"04000US34"
"New Jersey","2020/09/10","Transit Stations",-42,"04000US34"
"New Jersey","2020/09/11","Transit Stations",-37,"04000US34"
"New Jersey","2020/09/12","Transit Stations",-21,"04000US34"
"New Jersey","2020/09/13","Transit Stations",-28,"04000US34"
"New Jersey","2020/09/14","Transit Stations",-41,"04000US34"
"New Jersey","2020/09/15","Transit Stations",-40,"04000US34"
"New Jersey","2020/09/16","Transit Stations",-40,"04000US34"
"New Jersey","2020/09/17","Transit Stations",-39,"04000US34"
"New Jersey","2020/09/18","Transit Stations",-38,"04000US34"
"New Jersey","2020/09/19","Transit Stations",-23,"04000US34"
"New Jersey","2020/09/20","Transit Stations",-30,"04000US34"
"New Jersey","2020/09/21","Transit Stations",-42,"04000US34"
"New Jersey","2020/09/22","Transit Stations",-43,"04000US34"
"New Jersey","2020/09/23","Transit Stations",-41,"04000US34"
"New Jersey","2020/09/24","Transit Stations",-40,"04000US34"
"New Jersey","2020/09/25","Transit Stations",-38,"04000US34"
"New Jersey","2020/09/26","Transit Stations",-24,"04000US34"
"New Jersey","2020/09/27","Transit Stations",-30,"04000US34"
"New Jersey","2020/09/28","Transit Stations",-42,"04000US34"
"New Jersey","2020/09/29","Transit Stations",-45,"04000US34"
"New Jersey","2020/09/30","Transit Stations",-42,"04000US34"
"New Jersey","2020/10/01","Transit Stations",-39,"04000US34"
"New Jersey","2020/10/02","Transit Stations",-37,"04000US34"
"New Jersey","2020/10/03","Transit Stations",-20,"04000US34"
"New Jersey","2020/10/04","Transit Stations",-28,"04000US34"
"New Jersey","2020/10/05","Transit Stations",-40,"04000US34"
"New Jersey","2020/10/06","Transit Stations",-40,"04000US34"
"New Jersey","2020/10/07","Transit Stations",-40,"04000US34"
"New Jersey","2020/10/08","Transit Stations",-38,"04000US34"
"New Jersey","2020/10/09","Transit Stations",-35,"04000US34"
"New Jersey","2020/10/10","Transit Stations",-21,"04000US34"
"New Jersey","2020/10/11","Transit Stations",-30,"04000US34"
"New Jersey","2020/10/12","Transit Stations",-48,"04000US34"
"New Jersey","2020/10/13","Transit Stations",-43,"04000US34"
"New Jersey","2020/10/14","Transit Stations",-38,"04000US34"
"New Jersey","2020/10/15","Transit Stations",-36,"04000US34"
"New Jersey","2020/10/16","Transit Stations",-43,"04000US34"
"New Jersey","2020/10/17","Transit Stations",-21,"04000US34"
"New Jersey","2020/10/18","Transit Stations",-27,"04000US34"
"New Jersey","2020/10/19","Transit Stations",-40,"04000US34"
"New Jersey","2020/10/20","Transit Stations",-41,"04000US34"
"New Jersey","2020/10/21","Transit Stations",-39,"04000US34"
"New Jersey","2020/10/22","Transit Stations",-37,"04000US34"
"New Jersey","2020/10/23","Transit Stations",-36,"04000US34"
"New Jersey","2020/10/24","Transit Stations",-22,"04000US34"
"New Jersey","2020/10/25","Transit Stations",-29,"04000US34"
"New Jersey","2020/10/26","Transit Stations",-42,"04000US34"
"New Jersey","2020/10/27","Transit Stations",-40,"04000US34"
"New Jersey","2020/10/28","Transit Stations",-42,"04000US34"
"New Jersey","2020/10/29","Transit Stations",-48,"04000US34"
"New Jersey","2020/10/30","Transit Stations",-44,"04000US34"
"New Jersey","2020/10/31","Transit Stations",-27,"04000US34"
"New Jersey","2020/11/01","Transit Stations",-38,"04000US34"
"New Jersey","2020/11/02","Transit Stations",-44,"04000US34"
"New Jersey","2020/11/03","Transit Stations",-45,"04000US34"
"New Jersey","2020/11/04","Transit Stations",-43,"04000US34"
"New Jersey","2020/11/05","Transit Stations",-41,"04000US34"
"New Jersey","2020/11/06","Transit Stations",-40,"04000US34"
"New Jersey","2020/11/07","Transit Stations",-25,"04000US34"
"New Jersey","2020/11/08","Transit Stations",-29,"04000US34"
"New Jersey","2020/11/09","Transit Stations",-42,"04000US34"
"New Jersey","2020/11/10","Transit Stations",-42,"04000US34"
"New Jersey","2020/11/11","Transit Stations",-47,"04000US34"
"New Jersey","2020/11/12","Transit Stations",-46,"04000US34"
"New Jersey","2020/11/13","Transit Stations",-44,"04000US34"
"New Jersey","2020/11/14","Transit Stations",-30,"04000US34"
"New Jersey","2020/11/15","Transit Stations",-37,"04000US34"
"New Jersey","2020/11/16","Transit Stations",-44,"04000US34"
"New Jersey","2020/11/17","Transit Stations",-46,"04000US34"
"New Jersey","2020/11/18","Transit Stations",-45,"04000US34"
"New Jersey","2020/11/19","Transit Stations",-44,"04000US34"
"New Jersey","2020/11/20","Transit Stations",-41,"04000US34"
"New Jersey","2020/11/21","Transit Stations",-28,"04000US34"
"New Jersey","2020/11/22","Transit Stations",-37,"04000US34"
"New Jersey","2020/11/23","Transit Stations",-46,"04000US34"
"New Jersey","2020/11/24","Transit Stations",-42,"04000US34"
"New Jersey","2020/11/25","Transit Stations",-38,"04000US34"
"New Jersey","2020/11/26","Transit Stations",-66,"04000US34"
"New Jersey","2020/11/27","Transit Stations",-49,"04000US34"
"New Jersey","2020/11/28","Transit Stations",-33,"04000US34"
"New Jersey","2020/11/29","Transit Stations",-32,"04000US34"
"New Jersey","2020/11/30","Transit Stations",-50,"04000US34"
"New Jersey","2020/12/01","Transit Stations",-44,"04000US34"
"New Jersey","2020/12/02","Transit Stations",-46,"04000US34"
"New Jersey","2020/12/03","Transit Stations",-44,"04000US34"
"New Jersey","2020/12/04","Transit Stations",-47,"04000US34"
"New Jersey","2020/12/05","Transit Stations",-41,"04000US34"
"New Jersey","2020/12/06","Transit Stations",-40,"04000US34"
"New Jersey","2020/12/07","Transit Stations",-48,"04000US34"
"New Jersey","2020/12/08","Transit Stations",-48,"04000US34"
"New Jersey","2020/12/09","Transit Stations",-48,"04000US34"
"New Jersey","2020/12/10","Transit Stations",-46,"04000US34"
"New Jersey","2020/12/11","Transit Stations",-45,"04000US34"
"New Jersey","2020/12/12","Transit Stations",-33,"04000US34"
"New Jersey","2020/12/13","Transit Stations",-35,"04000US34"
"New Jersey","2020/12/14","Transit Stations",-50,"04000US34"
"New Jersey","2020/12/15","Transit Stations",-44,"04000US34"
"New Jersey","2020/12/16","Transit Stations",-54,"04000US34"
"New Jersey","2020/12/17","Transit Stations",-66,"04000US34"
"New Jersey","2020/12/18","Transit Stations",-45,"04000US34"
"New Jersey","2020/12/19","Transit Stations",-28,"04000US34"
"New Jersey","2020/12/20","Transit Stations",-35,"04000US34"
"New Jersey","2020/12/21","Transit Stations",-42,"04000US34"
"New Jersey","2020/12/22","Transit Stations",-40,"04000US34"
"New Jersey","2020/12/23","Transit Stations",-35,"04000US34"
"New Jersey","2020/12/24","Transit Stations",-45,"04000US34"
"New Jersey","2020/12/25","Transit Stations",-74,"04000US34"
"New Jersey","2020/12/26","Transit Stations",-39,"04000US34"
"New Jersey","2020/12/27","Transit Stations",-37,"04000US34"
"New Jersey","2020/12/28","Transit Stations",-46,"04000US34"
"New Jersey","2020/12/29","Transit Stations",-46,"04000US34"
"New Jersey","2020/12/30","Transit Stations",-43,"04000US34"
"New Jersey","2020/12/31","Transit Stations",-49,"04000US34"
"New Jersey","2021/01/01","Transit Stations",-69,"04000US34"
"New Jersey","2021/01/02","Transit Stations",-35,"04000US34"
"New Jersey","2021/01/03","Transit Stations",-44,"04000US34"
"New Jersey","2021/01/04","Transit Stations",-48,"04000US34"
"New Jersey","2021/01/05","Transit Stations",-48,"04000US34"
"New Jersey","2021/01/06","Transit Stations",-49,"04000US34"
"New Jersey","2021/01/07","Transit Stations",-49,"04000US34"
"New Jersey","2021/01/08","Transit Stations",-50,"04000US34"
"New Jersey","2021/01/09","Transit Stations",-39,"04000US34"
"New Jersey","2021/01/10","Transit Stations",-43,"04000US34"
"New Jersey","2021/01/11","Transit Stations",-50,"04000US34"
"New Jersey","2021/01/12","Transit Stations",-49,"04000US34"
"New Jersey","2021/01/13","Transit Stations",-49,"04000US34"
"New Jersey","2021/01/14","Transit Stations",-49,"04000US34"
"New Jersey","2021/01/15","Transit Stations",-49,"04000US34"
"New Jersey","2021/01/16","Transit Stations",-40,"04000US34"
"New Jersey","2021/01/17","Transit Stations",-44,"04000US34"
"New Jersey","2021/01/18","Transit Stations",-52,"04000US34"
"New Jersey","2021/01/19","Transit Stations",-50,"04000US34"
"New Jersey","2021/01/20","Transit Stations",-52,"04000US34"
"New Jersey","2021/01/21","Transit Stations",-50,"04000US34"
"New Jersey","2021/01/22","Transit Stations",-49,"04000US34"
"New Jersey","2021/01/23","Transit Stations",-42,"04000US34"
"New Jersey","2021/01/24","Transit Stations",-47,"04000US34"
"New Jersey","2021/01/25","Transit Stations",-51,"04000US34"
"New Jersey","2021/01/26","Transit Stations",-55,"04000US34"
"New Jersey","2020/02/15","Workplaces",1,"04000US34"
"New Jersey","2020/02/16","Workplaces",0,"04000US34"
"New Jersey","2020/02/17","Workplaces",-36,"04000US34"
"New Jersey","2020/02/18","Workplaces",-1,"04000US34"
"New Jersey","2020/02/19","Workplaces",1,"04000US34"
"New Jersey","2020/02/20","Workplaces",0,"04000US34"
"New Jersey","2020/02/21","Workplaces",2,"04000US34"
"New Jersey","2020/02/22","Workplaces",4,"04000US34"
"New Jersey","2020/02/23","Workplaces",2,"04000US34"
"New Jersey","2020/02/24","Workplaces",3,"04000US34"
"New Jersey","2020/02/25","Workplaces",2,"04000US34"
"New Jersey","2020/02/26","Workplaces",2,"04000US34"
"New Jersey","2020/02/27","Workplaces",1,"04000US34"
"New Jersey","2020/02/28","Workplaces",3,"04000US34"
"New Jersey","2020/02/29","Workplaces",4,"04000US34"
"New Jersey","2020/03/01","Workplaces",2,"04000US34"
"New Jersey","2020/03/02","Workplaces",3,"04000US34"
"New Jersey","2020/03/03","Workplaces",3,"04000US34"
"New Jersey","2020/03/04","Workplaces",2,"04000US34"
"New Jersey","2020/03/05","Workplaces",2,"04000US34"
"New Jersey","2020/03/06","Workplaces",2,"04000US34"
"New Jersey","2020/03/07","Workplaces",6,"04000US34"
"New Jersey","2020/03/08","Workplaces",2,"04000US34"
"New Jersey","2020/03/09","Workplaces",1,"04000US34"
"New Jersey","2020/03/10","Workplaces",-2,"04000US34"
"New Jersey","2020/03/11","Workplaces",-3,"04000US34"
"New Jersey","2020/03/12","Workplaces",-5,"04000US34"
"New Jersey","2020/03/13","Workplaces",-9,"04000US34"
"New Jersey","2020/03/14","Workplaces",-2,"04000US34"
"New Jersey","2020/03/15","Workplaces",-8,"04000US34"
"New Jersey","2020/03/16","Workplaces",-25,"04000US34"
"New Jersey","2020/03/17","Workplaces",-35,"04000US34"
"New Jersey","2020/03/18","Workplaces",-39,"04000US34"
"New Jersey","2020/03/19","Workplaces",-43,"04000US34"
"New Jersey","2020/03/20","Workplaces",-44,"04000US34"
"New Jersey","2020/03/21","Workplaces",-30,"04000US34"
"New Jersey","2020/03/22","Workplaces",-38,"04000US34"
"New Jersey","2020/03/23","Workplaces",-55,"04000US34"
"New Jersey","2020/03/24","Workplaces",-55,"04000US34"
"New Jersey","2020/03/25","Workplaces",-57,"04000US34"
"New Jersey","2020/03/26","Workplaces",-57,"04000US34"
"New Jersey","2020/03/27","Workplaces",-56,"04000US34"
"New Jersey","2020/03/28","Workplaces",-44,"04000US34"
"New Jersey","2020/03/29","Workplaces",-44,"04000US34"
"New Jersey","2020/03/30","Workplaces",-58,"04000US34"
"New Jersey","2020/03/31","Workplaces",-60,"04000US34"
"New Jersey","2020/04/01","Workplaces",-60,"04000US34"
"New Jersey","2020/04/02","Workplaces",-61,"04000US34"
"New Jersey","2020/04/03","Workplaces",-60,"04000US34"
"New Jersey","2020/04/04","Workplaces",-45,"04000US34"
"New Jersey","2020/04/05","Workplaces",-45,"04000US34"
"New Jersey","2020/04/06","Workplaces",-61,"04000US34"
"New Jersey","2020/04/07","Workplaces",-62,"04000US34"
"New Jersey","2020/04/08","Workplaces",-63,"04000US34"
"New Jersey","2020/04/09","Workplaces",-64,"04000US34"
"New Jersey","2020/04/10","Workplaces",-68,"04000US34"
"New Jersey","2020/04/11","Workplaces",-47,"04000US34"
"New Jersey","2020/04/12","Workplaces",-52,"04000US34"
"New Jersey","2020/04/13","Workplaces",-64,"04000US34"
"New Jersey","2020/04/14","Workplaces",-61,"04000US34"
"New Jersey","2020/04/15","Workplaces",-61,"04000US34"
"New Jersey","2020/04/16","Workplaces",-62,"04000US34"
"New Jersey","2020/04/17","Workplaces",-60,"04000US34"
"New Jersey","2020/04/18","Workplaces",-44,"04000US34"
"New Jersey","2020/04/19","Workplaces",-42,"04000US34"
"New Jersey","2020/04/20","Workplaces",-59,"04000US34"
"New Jersey","2020/04/21","Workplaces",-60,"04000US34"
"New Jersey","2020/04/22","Workplaces",-59,"04000US34"
"New Jersey","2020/04/23","Workplaces",-59,"04000US34"
"New Jersey","2020/04/24","Workplaces",-59,"04000US34"
"New Jersey","2020/04/25","Workplaces",-39,"04000US34"
"New Jersey","2020/04/26","Workplaces",-44,"04000US34"
"New Jersey","2020/04/27","Workplaces",-57,"04000US34"
"New Jersey","2020/04/28","Workplaces",-58,"04000US34"
"New Jersey","2020/04/29","Workplaces",-58,"04000US34"
"New Jersey","2020/04/30","Workplaces",-59,"04000US34"
"New Jersey","2020/05/01","Workplaces",-56,"04000US34"
"New Jersey","2020/05/02","Workplaces",-36,"04000US34"
"New Jersey","2020/05/03","Workplaces",-36,"04000US34"
"New Jersey","2020/05/04","Workplaces",-55,"04000US34"
"New Jersey","2020/05/05","Workplaces",-55,"04000US34"
"New Jersey","2020/05/06","Workplaces",-56,"04000US34"
"New Jersey","2020/05/07","Workplaces",-55,"04000US34"
"New Jersey","2020/05/08","Workplaces",-54,"04000US34"
"New Jersey","2020/05/09","Workplaces",-34,"04000US34"
"New Jersey","2020/05/10","Workplaces",-32,"04000US34"
"New Jersey","2020/05/11","Workplaces",-53,"04000US34"
"New Jersey","2020/05/12","Workplaces",-53,"04000US34"
"New Jersey","2020/05/13","Workplaces",-53,"04000US34"
"New Jersey","2020/05/14","Workplaces",-53,"04000US34"
"New Jersey","2020/05/15","Workplaces",-52,"04000US34"
"New Jersey","2020/05/16","Workplaces",-31,"04000US34"
"New Jersey","2020/05/17","Workplaces",-29,"04000US34"
"New Jersey","2020/05/18","Workplaces",-51,"04000US34"
"New Jersey","2020/05/19","Workplaces",-51,"04000US34"
"New Jersey","2020/05/20","Workplaces",-51,"04000US34"
"New Jersey","2020/05/21","Workplaces",-51,"04000US34"
"New Jersey","2020/05/22","Workplaces",-50,"04000US34"
"New Jersey","2020/05/23","Workplaces",-29,"04000US34"
"New Jersey","2020/05/24","Workplaces",-27,"04000US34"
"New Jersey","2020/05/25","Workplaces",-76,"04000US34"
"New Jersey","2020/05/26","Workplaces",-49,"04000US34"
"New Jersey","2020/05/27","Workplaces",-49,"04000US34"
"New Jersey","2020/05/28","Workplaces",-49,"04000US34"
"New Jersey","2020/05/29","Workplaces",-48,"04000US34"
"New Jersey","2020/05/30","Workplaces",-17,"04000US34"
"New Jersey","2020/05/31","Workplaces",-18,"04000US34"
"New Jersey","2020/06/01","Workplaces",-46,"04000US34"
"New Jersey","2020/06/02","Workplaces",-47,"04000US34"
"New Jersey","2020/06/03","Workplaces",-47,"04000US34"
"New Jersey","2020/06/04","Workplaces",-47,"04000US34"
"New Jersey","2020/06/05","Workplaces",-46,"04000US34"
"New Jersey","2020/06/06","Workplaces",-17,"04000US34"
"New Jersey","2020/06/07","Workplaces",-17,"04000US34"
"New Jersey","2020/06/08","Workplaces",-44,"04000US34"
"New Jersey","2020/06/09","Workplaces",-45,"04000US34"
"New Jersey","2020/06/10","Workplaces",-45,"04000US34"
"New Jersey","2020/06/11","Workplaces",-46,"04000US34"
"New Jersey","2020/06/12","Workplaces",-43,"04000US34"
"New Jersey","2020/06/13","Workplaces",-13,"04000US34"
"New Jersey","2020/06/14","Workplaces",-13,"04000US34"
"New Jersey","2020/06/15","Workplaces",-43,"04000US34"
"New Jersey","2020/06/16","Workplaces",-44,"04000US34"
"New Jersey","2020/06/17","Workplaces",-44,"04000US34"
"New Jersey","2020/06/18","Workplaces",-45,"04000US34"
"New Jersey","2020/06/19","Workplaces",-43,"04000US34"
"New Jersey","2020/06/20","Workplaces",-13,"04000US34"
"New Jersey","2020/06/21","Workplaces",-11,"04000US34"
"New Jersey","2020/06/22","Workplaces",-45,"04000US34"
"New Jersey","2020/06/23","Workplaces",-45,"04000US34"
"New Jersey","2020/06/24","Workplaces",-43,"04000US34"
"New Jersey","2020/06/25","Workplaces",-44,"04000US34"
"New Jersey","2020/06/26","Workplaces",-42,"04000US34"
"New Jersey","2020/06/27","Workplaces",-14,"04000US34"
"New Jersey","2020/06/28","Workplaces",-9,"04000US34"
"New Jersey","2020/06/29","Workplaces",-42,"04000US34"
"New Jersey","2020/06/30","Workplaces",-43,"04000US34"
"New Jersey","2020/07/01","Workplaces",-43,"04000US34"
"New Jersey","2020/07/02","Workplaces",-44,"04000US34"
"New Jersey","2020/07/03","Workplaces",-60,"04000US34"
"New Jersey","2020/07/04","Workplaces",-29,"04000US34"
"New Jersey","2020/07/05","Workplaces",-16,"04000US34"
"New Jersey","2020/07/06","Workplaces",-46,"04000US34"
"New Jersey","2020/07/07","Workplaces",-44,"04000US34"
"New Jersey","2020/07/08","Workplaces",-43,"04000US34"
"New Jersey","2020/07/09","Workplaces",-43,"04000US34"
"New Jersey","2020/07/10","Workplaces",-45,"04000US34"
"New Jersey","2020/07/11","Workplaces",-10,"04000US34"
"New Jersey","2020/07/12","Workplaces",-11,"04000US34"
"New Jersey","2020/07/13","Workplaces",-42,"04000US34"
"New Jersey","2020/07/14","Workplaces",-43,"04000US34"
"New Jersey","2020/07/15","Workplaces",-42,"04000US34"
"New Jersey","2020/07/16","Workplaces",-42,"04000US34"
"New Jersey","2020/07/17","Workplaces",-41,"04000US34"
"New Jersey","2020/07/18","Workplaces",-11,"04000US34"
"New Jersey","2020/07/19","Workplaces",-13,"04000US34"
"New Jersey","2020/07/20","Workplaces",-43,"04000US34"
"New Jersey","2020/07/21","Workplaces",-43,"04000US34"
"New Jersey","2020/07/22","Workplaces",-42,"04000US34"
"New Jersey","2020/07/23","Workplaces",-42,"04000US34"
"New Jersey","2020/07/24","Workplaces",-41,"04000US34"
"New Jersey","2020/07/25","Workplaces",-11,"04000US34"
"New Jersey","2020/07/26","Workplaces",-12,"04000US34"
"New Jersey","2020/07/27","Workplaces",-43,"04000US34"
"New Jersey","2020/07/28","Workplaces",-42,"04000US34"
"New Jersey","2020/07/29","Workplaces",-42,"04000US34"
"New Jersey","2020/07/30","Workplaces",-43,"04000US34"
"New Jersey","2020/07/31","Workplaces",-42,"04000US34"
"New Jersey","2020/08/01","Workplaces",-11,"04000US34"
"New Jersey","2020/08/02","Workplaces",-14,"04000US34"
"New Jersey","2020/08/03","Workplaces",-42,"04000US34"
"New Jersey","2020/08/04","Workplaces",-50,"04000US34"
"New Jersey","2020/08/05","Workplaces",-45,"04000US34"
"New Jersey","2020/08/06","Workplaces",-44,"04000US34"
"New Jersey","2020/08/07","Workplaces",-42,"04000US34"
"New Jersey","2020/08/08","Workplaces",-10,"04000US34"
"New Jersey","2020/08/09","Workplaces",-11,"04000US34"
"New Jersey","2020/08/10","Workplaces",-42,"04000US34"
"New Jersey","2020/08/11","Workplaces",-42,"04000US34"
"New Jersey","2020/08/12","Workplaces",-42,"04000US34"
"New Jersey","2020/08/13","Workplaces",-43,"04000US34"
"New Jersey","2020/08/14","Workplaces",-41,"04000US34"
"New Jersey","2020/08/15","Workplaces",-12,"04000US34"
"New Jersey","2020/08/16","Workplaces",-18,"04000US34"
"New Jersey","2020/08/17","Workplaces",-43,"04000US34"
"New Jersey","2020/08/18","Workplaces",-41,"04000US34"
"New Jersey","2020/08/19","Workplaces",-42,"04000US34"
"New Jersey","2020/08/20","Workplaces",-42,"04000US34"
"New Jersey","2020/08/21","Workplaces",-41,"04000US34"
"New Jersey","2020/08/22","Workplaces",-11,"04000US34"
"New Jersey","2020/08/23","Workplaces",-13,"04000US34"
"New Jersey","2020/08/24","Workplaces",-42,"04000US34"
"New Jersey","2020/08/25","Workplaces",-42,"04000US34"
"New Jersey","2020/08/26","Workplaces",-41,"04000US34"
"New Jersey","2020/08/27","Workplaces",-42,"04000US34"
"New Jersey","2020/08/28","Workplaces",-40,"04000US34"
"New Jersey","2020/08/29","Workplaces",-14,"04000US34"
"New Jersey","2020/08/30","Workplaces",-11,"04000US34"
