date,2021,2020,2019
27-Aug,,721060,2561109
28-Aug,,738873,2658558
29-Aug,,591734,1954902
30-Aug,,807695,1887845
31-Aug,,711178,2278159
1-Sep,,516068,2037750
2-Sep,,578131,1889044
3-Sep,,877698,2109858
4-Sep,,968673,2198828
5-Sep,,664640,1755502
6-Sep,,689630,2370003
7-Sep,,935308,2292985
8-Sep,,704075,1943379
9-Sep,,616923,2005867
10-Sep,,755051,2449302
11-Sep,,731353,2484025
12-Sep,,613703,1879822
13-Sep,,809850,2485134
14-Sep,,729558,2405832
15-Sep,,522383,2013050
16-Sep,,577847,2146857
17-Sep,,784746,2455410
18-Sep,,812214,2571924
19-Sep,,638575,1938402
20-Sep,,847968,2517826
21-Sep,,769936,2431388
22-Sep,,549741,2033490
23-Sep,,608726,2188236
24-Sep,,826316,2510926
25-Sep,,826329,2547611
26-Sep,,659350,1966234
27-Sep,,873038,2452596
28-Sep,,797699,2368818
29-Sep,,568688,1998980
30-Sep,,634046,2082179
1-Oct,,855908,2447687
2-Oct,,857186,2526835
3-Oct,,677661,1921185
4-Oct,,900911,2542118
5-Oct,,816838,2400153
6-Oct,,590766,2035628
7-Oct,,668519,2215233
8-Oct,,936915,2605291
9-Oct,,968545,2688032
10-Oct,,769868,2074718
11-Oct,,984234,2555333
12-Oct,,958440,2616771
13-Oct,,680894,2313632
14-Oct,,717940,2317763
15-Oct,,950024,2581007
16-Oct,,973046,2637667
17-Oct,,788743,2049855
18-Oct,,1031505,2606266
19-Oct,,921031,2514673
20-Oct,,662484,2126637
21-Oct,,694150,2245199
22-Oct,,934386,2541581
23-Oct,,958437,2594337
24-Oct,,755287,1931971
25-Oct,,983745,2478287
26-Oct,,898735,2347017
27-Oct,,648517,1910506
28-Oct,,666957,2066516
29-Oct,,873636,2047910
30-Oct,,892712,2319906
31-Oct,,618476,1836781
1-Nov,,936092,2459525
2-Nov,,846138,2403304
3-Nov,,575829,2005101
4-Nov,,636533,2147882
5-Nov,,867105,2507365
6-Nov,,895091,2544350
7-Nov,,689951,1908805
8-Nov,,973020,2356349
9-Nov,,836600,2465392
10-Nov,,596475,2150003
11-Nov,,674633,2072207
12-Nov,,866679,2364920
13-Nov,,881579,2437211
14-Nov,,697360,1807230
15-Nov,,978297,2396681
16-Nov,,883157,2298856
17-Nov,,611497,1900895
18-Nov,,703135,2071631
19-Nov,,907332,2428095
20-Nov,,1019836,2550459
21-Nov,,984369,2194291
22-Nov,,1047934,2321546
23-Nov,,917354,2254188
24-Nov,,912090,2435170
25-Nov,,1070967,2624250
26-Nov,,560902,1591158
27-Nov,,820399,1968137
28-Nov,,964630,2648268
29-Nov,,1176091,2882915
30-Nov,,981912,2591470
1-Dec,,780283,2280403
2-Dec,,632356,2054380
3-Dec,,738050,2262878
4-Dec,,753951,2278205
5-Dec,,629430,1755801
6-Dec,,837137,2292079
7-Dec,,703546,2226290
8-Dec,,501513,1897051
9-Dec,,564372,2020488
10-Dec,,754307,2362310
11-Dec,,787489,2388029
12-Dec,,662380,1893871
13-Dec,,865014,2300248
14-Dec,,752451,2250386
15-Dec,,552024,2009112
16-Dec,,641966,2234374
17-Dec,,846934,2471408
18-Dec,,1066747,2608088
19-Dec,,1073563,2487987
20-Dec,,1064619,2519399
21-Dec,,954782,2490503
22-Dec,,992167,1981433
23-Dec,,1191123,1937235
24-Dec,,846520,2552194
25-Dec,,616469,2582580
26-Dec,,1128773,2470786
27-Dec,,1284599,2575985
28-Dec,,1111751,2500396
29-Dec,,1019347,2009880
30-Dec,,1163696,2133253
31-Dec,,874406,2392331
