week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
11/14/2020,11/7/2020,04000US22,Louisiana,10045,91023,1887456,4.82,1.60533E+12,"November 14th, 2020",04000US22,Louisiana
11/14/2020,11/7/2020,04000US27,Minnesota,15428,104687,2871418,3.65,1.60533E+12,"November 14th, 2020",04000US27,Minnesota
11/14/2020,11/7/2020,04000US34,New Jersey,12988,164818,4042393,4.08,1.60533E+12,"November 14th, 2020",04000US34,New Jersey
11/14/2020,11/7/2020,04000US55,Wisconsin,15605,92927,2857433,3.25,1.60533E+12,"November 14th, 2020",04000US55,Wisconsin
11/7/2020,10/31/2020,04000US08,Colorado,7516,92367,2692685,3.43,1.60473E+12,"November 7th, 2020",04000US08,Colorado
11/7/2020,10/31/2020,04000US22,Louisiana,10045,98935,1887456,5.24,1.60473E+12,"November 7th, 2020",04000US22,Louisiana
11/7/2020,10/31/2020,04000US27,Minnesota,11820,105784,2871418,3.68,1.60473E+12,"November 7th, 2020",04000US27,Minnesota
11/7/2020,10/31/2020,04000US34,New Jersey,20978,168839,4042393,4.18,1.60473E+12,"November 7th, 2020",04000US34,New Jersey
11/7/2020,10/31/2020,04000US55,Wisconsin,14334,94072,2857433,3.29,1.60473E+12,"November 7th, 2020",04000US55,Wisconsin
10/31/2020,10/24/2020,04000US08,Colorado,7138,96782,2692685,3.59,1.60412E+12,"October 31st, 2020",04000US08,Colorado
10/31/2020,10/24/2020,04000US22,Louisiana,8419,115350,1887456,6.11,1.60412E+12,"October 31st, 2020",04000US22,Louisiana
10/31/2020,10/24/2020,04000US27,Minnesota,12499,110584,2871418,3.85,1.60412E+12,"October 31st, 2020",04000US27,Minnesota
10/31/2020,10/24/2020,04000US34,New Jersey,24703,179328,4042393,4.44,1.60412E+12,"October 31st, 2020",04000US34,New Jersey
10/31/2020,10/24/2020,04000US55,Wisconsin,14874,98223,2857433,3.44,1.60412E+12,"October 31st, 2020",04000US55,Wisconsin
10/24/2020,10/17/2020,04000US08,Colorado,6071,105759,2692685,3.93,1.60351E+12,"October 24th, 2020",04000US08,Colorado
10/24/2020,10/17/2020,04000US22,Louisiana,9943,128378,1887456,6.8,1.60351E+12,"October 24th, 2020",04000US22,Louisiana
10/24/2020,10/17/2020,04000US27,Minnesota,11681,116856,2871418,4.07,1.60351E+12,"October 24th, 2020",04000US27,Minnesota
10/24/2020,10/17/2020,04000US34,New Jersey,27203,203663,4042393,5.04,1.60351E+12,"October 24th, 2020",04000US34,New Jersey
10/24/2020,10/17/2020,04000US55,Wisconsin,13540,100438,2857433,3.51,1.60351E+12,"October 24th, 2020",04000US55,Wisconsin
10/17/2020,10/10/2020,04000US08,Colorado,5759,111822,2692685,4.15,1.60291E+12,"October 17th, 2020",04000US08,Colorado
10/17/2020,10/10/2020,04000US22,Louisiana,13039,146622,1887456,7.77,1.60291E+12,"October 17th, 2020",04000US22,Louisiana
10/17/2020,10/10/2020,04000US27,Minnesota,9833,122976,2871418,4.28,1.60291E+12,"October 17th, 2020",04000US27,Minnesota
10/17/2020,10/10/2020,04000US34,New Jersey,28809,217743,4042393,5.39,1.60291E+12,"October 17th, 2020",04000US34,New Jersey
10/17/2020,10/10/2020,04000US55,Wisconsin,13890,102729,2857433,3.6,1.60291E+12,"October 17th, 2020",04000US55,Wisconsin
10/10/2020,10/3/2020,04000US08,Colorado,6406,124333,2692685,4.62,1.6023E+12,"October 10th, 2020",04000US08,Colorado
10/10/2020,10/3/2020,04000US22,Louisiana,13577,165320,1887456,8.76,1.6023E+12,"October 10th, 2020",04000US22,Louisiana
10/10/2020,10/3/2020,04000US27,Minnesota,9340,138673,2871418,4.83,1.6023E+12,"October 10th, 2020",04000US27,Minnesota
10/10/2020,10/3/2020,04000US34,New Jersey,29031,249076,4042393,6.16,1.6023E+12,"October 10th, 2020",04000US34,New Jersey
10/10/2020,10/3/2020,04000US55,Wisconsin,14971,110050,2857433,3.85,1.6023E+12,"October 10th, 2020",04000US55,Wisconsin
10/3/2020,9/26/2020,04000US08,Colorado,5919,127012,2681376,4.74,1.6017E+12,"October 3rd, 2020",04000US08,Colorado
10/3/2020,9/26/2020,04000US22,Louisiana,13461,195223,1889866,10.33,1.6017E+12,"October 3rd, 2020",04000US22,Louisiana
10/3/2020,9/26/2020,04000US27,Minnesota,9697,152536,2868184,5.32,1.6017E+12,"October 3rd, 2020",04000US27,Minnesota
10/3/2020,9/26/2020,04000US34,New Jersey,23680,282981,4034480,7.01,1.6017E+12,"October 3rd, 2020",04000US34,New Jersey
10/3/2020,9/26/2020,04000US55,Wisconsin,11916,112613,2855007,3.94,1.6017E+12,"October 3rd, 2020",04000US55,Wisconsin
