Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,2/16/2019,34,NJ,34033,Salem County,"12,132","50,284","238,399","58,388","46,965","26,457","37,729","45,901","16,379","4,293","1,799",267,221
County,2/16/2019,34,NJ,34035,Somerset County,"57,998","272,154","1,243,069","275,986","306,906","156,580","217,393","181,714","78,681","15,539","6,995","1,571","1,704"
County,2/16/2019,34,NJ,34037,Sussex County,"24,915","115,454","513,484","96,146","116,808","56,772","81,363","99,234","47,069","12,545","2,623",355,569
County,2/16/2019,34,NJ,34039,Union County,"117,004","439,357","2,195,874","655,475","576,801","246,838","291,163","297,631","81,537","26,551","13,846","2,996","3,036"
County,2/16/2019,34,NJ,34041,Warren County,"18,903","86,553","402,579","87,827","102,366","40,746","50,301","72,420","31,892","14,664","1,724",240,399
State,2/10/2019,34,NJ,,,"1,945,574","6,935,719","30,438,002","7,988,738","7,941,863","3,761,567","4,540,665","4,029,477","1,417,744","520,244","165,472","32,582","39,650"
State,2/11/2019,34,NJ,,,"1,740,292","7,141,001","32,272,838","9,109,918","7,533,940","3,642,888","4,648,715","4,798,270","1,804,281","521,730","140,284","29,809","43,003"
State,2/12/2019,34,NJ,,,"1,858,867","7,022,426","31,574,719","9,246,285","7,836,955","3,598,308","4,427,449","4,277,585","1,538,979","463,550","124,158","26,504","34,946"
State,2/13/2019,34,NJ,,,"1,765,326","7,115,967","33,066,644","8,897,072","8,023,856","3,822,792","4,865,174","4,879,433","1,821,983","539,593","142,311","30,343","44,087"
State,2/14/2019,34,NJ,,,"1,729,246","7,152,047","34,078,017","8,934,692","8,339,662","3,974,485","5,075,825","5,094,827","1,864,385","559,452","153,304","33,993","47,392"
State,2/15/2019,34,NJ,,,"1,738,168","7,143,125","33,573,649","8,610,183","8,203,181","3,964,638","5,072,685","5,047,720","1,832,953","579,454","176,465","38,901","47,469"
State,2/16/2019,34,NJ,,,"1,822,957","7,058,336","33,908,197","8,947,717","8,652,070","4,085,065","5,124,828","4,628,565","1,633,691","578,082","180,740","35,014","42,425"
County,2/17/2019,34,NJ,34001,Atlantic County,"57,998","206,620","918,117","227,482","235,957","92,275","161,245","123,435","45,516","24,969","6,001",439,798
County,2/17/2019,34,NJ,34003,Bergen County,"200,767","733,062","3,134,466","876,287","837,879","367,582","475,101","410,519","98,740","37,288","22,586","3,565","4,919"
County,2/17/2019,34,NJ,34005,Burlington County,"86,814","357,209","1,540,035","381,854","372,272","177,313","245,435","239,080","74,151","37,276","8,812","1,792","2,050"
County,2/17/2019,34,NJ,34007,Camden County,"112,474","393,054","1,762,259","486,114","441,255","213,472","278,363","238,044","62,211","30,408","9,386","1,559","1,447"
County,2/17/2019,34,NJ,34009,Cape May County,"22,408","69,869","314,543","80,268","71,601","40,409","57,350","38,636","16,772","6,651","2,247",291,318
County,2/17/2019,34,NJ,34011,Cumberland County,"30,781","119,730","547,416","130,164","145,176","67,666","76,889","77,657","39,192","7,497","2,667",229,279
County,2/17/2019,34,NJ,34013,Essex County,"193,480","603,842","2,705,649","822,842","749,151","326,506","360,491","334,749","66,453","25,839","13,516","2,943","3,159"
County,2/17/2019,34,NJ,34015,Gloucester County,"56,693","233,824","1,017,262","228,238","254,167","119,199","161,569","170,511","55,407","18,304","7,434","1,407","1,026"
County,2/17/2019,34,NJ,34017,Hudson County,"191,792","482,203","2,028,275","670,550","583,652","236,485","261,804","184,937","50,657","20,901","13,573","2,484","3,232"
County,2/17/2019,34,NJ,34019,Hunterdon County,"20,125","104,208","426,605","80,197","104,594","46,783","61,461","79,178","35,419","13,995","3,365",667,946
County,2/17/2019,34,NJ,34021,Mercer County,"82,527","286,154","1,258,959","328,015","357,394","164,962","178,859","134,192","59,000","29,430","4,575","1,323","1,209"
County,2/17/2019,34,NJ,34023,Middlesex County,"169,745","657,404","2,766,173","692,692","697,165","355,772","411,339","359,037","188,022","41,171","14,749","3,881","2,345"
County,2/17/2019,34,NJ,34025,Monmouth County,"121,472","497,983","2,191,967","540,040","585,547","282,684","313,280","275,517","137,472","42,371","9,962","2,367","2,727"
County,2/17/2019,34,NJ,34027,Morris County,"93,969","398,748","1,680,856","385,573","433,463","207,065","263,920","253,504","99,653","22,498","10,119","1,854","3,207"
County,2/17/2019,34,NJ,34029,Ocean County,"117,255","482,557","2,122,169","507,452","578,356","264,180","297,640","268,602","115,278","76,293","9,578","2,024","2,766"
County,2/17/2019,34,NJ,34031,Passaic County,"107,799","393,973","1,698,482","462,951","444,056","188,602","260,760","253,489","57,660","17,686","10,007","1,711","1,560"
County,2/17/2019,34,NJ,34033,Salem County,"12,220","50,196","209,404","48,658","41,788","24,869","34,409","39,595","14,001","4,081","1,512",306,185
County,2/17/2019,34,NJ,34035,Somerset County,"59,263","270,889","1,114,452","257,311","281,359","136,078","186,949","159,295","67,615","16,438","6,409","1,656","1,342"
County,2/17/2019,34,NJ,34037,Sussex County,"25,149","115,220","477,348","102,529","112,886","51,883","70,416","87,391","37,780","11,559","2,120",356,428
County,2/17/2019,34,NJ,34039,Union County,"122,525","433,836","1,954,972","580,505","523,904","218,060","260,500","256,391","70,230","24,541","14,666","3,187","2,988"
County,2/17/2019,34,NJ,34041,Warren County,"19,580","85,876","370,745","89,225","92,837","38,581","45,340","60,788","28,064","13,435","1,780",275,420
County,2/18/2019,34,NJ,34001,Atlantic County,"55,332","209,286","946,683","237,521","230,138","99,084","165,087","130,249","50,620","26,587","6,206",506,685
County,2/18/2019,34,NJ,34003,Bergen County,"196,785","737,044","3,200,567","888,305","837,513","390,841","504,138","421,741","96,168","32,283","21,126","4,047","4,405"
County,2/18/2019,34,NJ,34005,Burlington County,"82,911","361,112","1,553,936","373,806","366,318","172,785","243,696","267,301","80,660","36,460","8,986","2,095","1,829"
County,2/18/2019,34,NJ,34007,Camden County,"107,492","398,036","1,801,705","504,549","423,313","207,212","285,196","270,536","69,938","28,959","8,929","1,597","1,476"
County,2/18/2019,34,NJ,34009,Cape May County,"21,031","71,246","316,861","82,625","67,656","39,979","56,725","41,192","18,716","7,002","2,220",335,411
County,2/18/2019,34,NJ,34011,Cumberland County,"28,668","121,843","551,119","130,315","141,791","66,567","74,599","79,121","46,959","8,483","2,744",278,262
County,2/18/2019,34,NJ,34013,Essex County,"187,656","609,666","2,767,625","855,417","735,960","324,410","371,826","359,527","75,419","25,221","13,199","3,065","3,581"
County,2/18/2019,34,NJ,34015,Gloucester County,"53,385","237,132","1,014,368","232,748","233,519","114,028","159,121","187,885","59,693","18,306","7,085","1,007",976
County,2/18/2019,34,NJ,34017,Hudson County,"185,794","488,201","2,062,251","678,465","582,868","245,594","269,526","191,576","55,453","20,000","12,120","2,796","3,853"
County,2/18/2019,34,NJ,34019,Hunterdon County,"19,629","104,704","424,878","81,512","93,827","49,641","62,415","82,230","36,279","14,833","2,641",550,950
County,2/18/2019,34,NJ,34021,Mercer County,"77,322","291,359","1,304,701","358,646","345,566","162,271","185,364","147,659","68,996","28,873","4,799","1,272","1,255"
County,2/18/2019,34,NJ,34023,Middlesex County,"162,738","664,411","2,866,687","733,327","697,933","352,902","425,283","398,768","197,765","40,316","14,283","3,170","2,940"
County,2/18/2019,34,NJ,34025,Monmouth County,"116,334","503,121","2,176,691","521,848","566,882","276,394","317,746","293,535","143,420","40,604","9,838","2,756","3,668"
County,2/18/2019,34,NJ,34027,Morris County,"92,603","400,114","1,630,151","362,498","405,566","196,545","259,884","265,284","105,470","19,381","9,706","2,440","3,377"
County,2/18/2019,34,NJ,34029,Ocean County,"113,404","486,408","2,183,813","538,508","562,252","259,489","310,280","282,661","137,041","79,937","8,848","2,324","2,473"
County,2/18/2019,34,NJ,34031,Passaic County,"104,287","397,485","1,736,819","468,221","425,462","197,939","273,836","276,416","65,626","17,714","8,668","1,483","1,454"
County,2/18/2019,34,NJ,34033,Salem County,"11,665","50,751","223,120","52,986","41,201","24,337","35,951","47,464","14,991","3,965","1,764",250,211
County,2/18/2019,34,NJ,34035,Somerset County,"58,082","272,070","1,110,602","244,597","270,312","140,402","188,534","168,495","73,284","14,839","6,879","1,400","1,860"
County,2/18/2019,34,NJ,34037,Sussex County,"24,006","116,363","472,143","98,191","104,718","48,882","71,218","91,254","43,052","11,883","2,087",406,452
County,2/18/2019,34,NJ,34039,Union County,"118,575","437,786","2,005,461","592,830","529,673","228,689","260,018","275,148","75,754","24,098","13,447","3,092","2,712"
County,2/18/2019,34,NJ,34041,Warren County,"18,334","87,122","372,611","89,729","85,071","35,443","45,176","67,086","34,145","13,852","1,454",234,421
County,2/19/2019,34,NJ,34013,Essex County,"178,343","618,979","2,947,613","931,546","771,883","342,802","385,145","397,188","77,386","22,582","12,507","3,052","3,522"
County,2/19/2019,34,NJ,34015,Gloucester County,"51,257","239,260","1,085,177","266,895","242,154","118,969","162,540","198,556","69,422","17,101","7,305","1,125","1,110"
County,2/19/2019,34,NJ,34017,Hudson County,"176,998","496,997","2,229,680","769,309","617,276","268,927","287,478","195,987","55,246","17,384","11,767","2,780","3,526"
County,2/19/2019,34,NJ,34019,Hunterdon County,"17,807","106,526","449,495","91,478","88,157","50,562","65,016","88,173","46,706","16,430","1,802",402,769
County,2/19/2019,34,NJ,34021,Mercer County,"72,854","295,827","1,383,380","399,174","351,567","162,889","197,291","163,997","69,609","31,840","4,442","1,111","1,460"
County,2/19/2019,34,NJ,34023,Middlesex County,"152,099","675,050","3,036,801","829,173","705,665","349,702","416,624","453,555","226,414","36,777","12,283","3,739","2,869"
County,2/19/2019,34,NJ,34025,Monmouth County,"106,502","512,953","2,282,632","573,683","555,096","263,979","305,679","338,108","189,905","43,722","6,830","2,555","3,075"
County,2/19/2019,34,NJ,34027,Morris County,"86,647","406,070","1,743,872","407,554","416,062","203,697","264,581","301,007","123,063","16,874","6,343","1,753","2,938"
County,2/19/2019,34,NJ,34029,Ocean County,"105,554","494,258","2,301,354","579,422","563,621","261,174","301,852","311,693","180,832","88,862","9,340","1,866","2,692"
County,2/19/2019,34,NJ,34031,Passaic County,"100,310","401,462","1,835,164","524,549","435,746","202,950","277,729","298,243","67,470","17,149","8,194","1,504","1,630"
County,2/19/2019,34,NJ,34033,Salem County,"11,289","51,127","240,433","62,951","46,589","24,787","34,913","49,650","15,438","3,982","1,471",408,244
County,2/19/2019,34,NJ,34035,Somerset County,"54,362","275,790","1,160,513","266,028","276,745","138,094","185,632","188,543","84,701","13,100","4,269","1,251","2,150"
County,2/19/2019,34,NJ,34037,Sussex County,"21,827","118,542","509,278","116,026","106,310","51,387","70,411","95,610","55,812","11,113","1,721",431,457
County,2/19/2019,34,NJ,34039,Union County,"111,631","444,730","2,110,065","643,560","534,954","220,658","271,793","316,984","82,715","21,717","11,901","2,836","2,947"
County,2/19/2019,34,NJ,34041,Warren County,"17,166","88,290","389,459","97,184","83,045","38,027","42,012","69,051","41,839","16,233","1,550",195,323
County,2/19/2019,34,NJ,34001,Atlantic County,"52,544","212,074","996,517","260,498","238,734","99,120","173,981","140,753","51,157","25,649","5,148",625,852
County,2/19/2019,34,NJ,34003,Bergen County,"186,212","747,617","3,405,514","975,989","844,398","403,436","538,892","481,984","104,014","30,808","17,561","3,712","4,720"
County,2/19/2019,34,NJ,34005,Burlington County,"76,968","367,055","1,680,567","437,765","371,818","173,135","255,458","300,022","93,890","36,261","8,190","2,145","1,883"
County,2/19/2019,34,NJ,34007,Camden County,"101,326","404,202","1,910,996","553,266","436,164","221,002","296,643","287,988","73,961","29,028","9,686","1,363","1,895"
County,2/19/2019,34,NJ,34009,Cape May County,"20,184","72,093","336,206","85,387","71,922","43,371","62,811","43,863","18,985","7,274","1,948",223,422
County,2/19/2019,34,NJ,34011,Cumberland County,"27,226","123,285","597,290","156,521","150,402","70,953","74,159","84,798","48,746","8,065","3,060",286,300
County,2/20/2019,34,NJ,34001,Atlantic County,"54,943","209,675","977,732","264,231","227,754","101,288","174,393","130,693","48,217","24,420","5,457",538,741
County,2/20/2019,34,NJ,34003,Bergen County,"186,787","747,042","3,376,199","1,001,371","821,966","386,591","522,358","481,463","111,503","28,288","14,804","3,064","4,791"
County,2/20/2019,34,NJ,34005,Burlington County,"81,174","362,849","1,632,484","439,449","373,979","175,196","241,318","270,218","86,385","34,929","7,592","1,643","1,775"
County,2/20/2019,34,NJ,34007,Camden County,"105,782","399,746","1,885,419","569,482","442,984","212,478","282,612","263,289","72,397","29,821","9,301","1,214","1,841"
County,2/20/2019,34,NJ,34009,Cape May County,"19,927","72,350","329,666","85,677","69,890","37,980","63,622","45,010","17,909","6,936","1,892",255,495
County,2/20/2019,34,NJ,34011,Cumberland County,"27,984","122,527","594,784","156,862","152,135","64,949","81,100","80,296","48,120","7,900","2,938",235,249
County,2/20/2019,34,NJ,34013,Essex County,"177,300","620,022","2,927,949","932,769","753,824","346,353","384,405","390,477","79,255","21,893","11,963","3,175","3,835"
County,2/20/2019,34,NJ,34015,Gloucester County,"52,689","237,828","1,051,641","264,075","236,997","114,374","157,370","189,721","61,622","18,673","7,150",787,872
County,2/20/2019,34,NJ,34017,Hudson County,"179,875","494,120","2,210,871","748,572","599,039","278,016","297,190","196,538","56,681","17,835","11,018","2,737","3,245"
County,2/20/2019,34,NJ,34019,Hunterdon County,"18,465","105,868","446,677","96,074","96,816","47,377","59,305","84,189","43,311","16,508","1,909",325,863
County,2/20/2019,34,NJ,34021,Mercer County,"76,064","292,617","1,350,820","406,768","341,298","165,078","191,524","148,787","63,189","27,503","4,242","1,167","1,264"
County,2/20/2019,34,NJ,34023,Middlesex County,"152,699","674,450","3,020,894","849,796","687,076","345,937","418,275","441,050","223,312","36,619","12,461","3,625","2,743"
County,2/20/2019,34,NJ,34025,Monmouth County,"109,734","509,721","2,279,600","607,089","559,807","270,280","301,484","310,198","179,990","39,748","5,965","1,851","3,188"
County,2/20/2019,34,NJ,34027,Morris County,"87,654","405,063","1,726,332","438,973","408,182","190,106","257,016","288,349","116,408","17,048","5,529","1,859","2,862"
County,2/20/2019,34,NJ,34029,Ocean County,"106,888","492,924","2,280,691","610,237","542,885","257,065","298,949","303,297","169,779","86,533","8,090","1,608","2,248"
County,2/20/2019,34,NJ,34031,Passaic County,"99,262","402,510","1,844,223","540,474","426,287","195,003","281,310","304,345","71,503","15,307","7,297","1,366","1,331"
County,2/20/2019,34,NJ,34033,Salem County,"11,429","50,987","231,560","64,438","44,751","23,963","34,965","42,377","15,095","4,001","1,501",302,167
County,2/20/2019,34,NJ,34035,Somerset County,"54,695","275,457","1,170,600","285,921","278,655","138,493","190,353","181,250","78,365","11,456","3,382","1,016","1,709"
County,2/20/2019,34,NJ,34037,Sussex County,"22,005","118,364","516,056","127,694","106,802","50,532","68,891","92,278","54,383","12,932","1,677",336,531
County,2/20/2019,34,NJ,34039,Union County,"111,353","445,008","2,125,365","668,956","541,729","218,911","268,248","306,478","81,920","21,390","11,671","3,016","3,046"
County,2/20/2019,34,NJ,34041,Warren County,"17,234","88,222","412,583","117,523","91,358","38,094","41,645","68,294","38,910","14,826","1,279",253,401
County,2/21/2019,34,NJ,34001,Atlantic County,"53,544","211,074","1,032,233","253,188","254,215","103,942","185,237","144,041","55,156","28,725","6,378",478,873
County,2/21/2019,34,NJ,34003,Bergen County,"191,015","742,814","3,547,191","977,870","878,271","426,683","583,060","516,095","108,192","30,696","17,109","4,130","5,085"
County,2/21/2019,34,NJ,34005,Burlington County,"80,336","363,687","1,714,122","406,048","389,282","184,590","270,102","308,835","98,001","43,239","9,665","2,133","2,227"
County,2/21/2019,34,NJ,34007,Camden County,"103,339","402,189","2,006,415","553,438","473,769","233,102","317,474","296,035","84,270","33,416","11,421","1,399","2,091"
County,2/21/2019,34,NJ,34009,Cape May County,"20,294","71,983","351,756","90,101","75,110","47,162","61,770","44,862","21,820","7,880","2,186",345,520
County,2/21/2019,34,NJ,34011,Cumberland County,"27,546","122,965","625,931","148,840","164,447","78,258","82,348","84,837","52,776","10,325","3,497",287,316
County,2/21/2019,34,NJ,34013,Essex County,"178,608","618,714","3,042,808","902,473","796,309","366,525","424,864","426,975","82,230","21,973","13,119","3,717","4,623"
County,2/21/2019,34,NJ,34015,Gloucester County,"51,795","238,722","1,099,399","239,447","251,543","122,964","171,901","210,792","71,677","20,408","8,254","1,257","1,156"
County,2/21/2019,34,NJ,34017,Hudson County,"181,303","492,692","2,346,870","781,686","651,809","288,747","327,381","202,568","57,626","19,164","11,009","2,729","4,151"
County,2/21/2019,34,NJ,34019,Hunterdon County,"19,097","105,236","447,614","81,503","93,477","54,235","67,424","85,213","44,721","16,691","2,812",458,"1,080"
County,2/21/2019,34,NJ,34021,Mercer County,"75,599","293,082","1,430,450","378,805","375,683","179,643","215,366","165,462","74,019","32,537","5,836","1,298","1,801"
County,2/21/2019,34,NJ,34023,Middlesex County,"156,802","670,347","3,159,850","794,644","765,382","370,591","440,494","484,684","240,881","41,338","14,546","3,746","3,544"
County,2/21/2019,34,NJ,34025,Monmouth County,"112,873","506,582","2,388,947","559,568","592,345","295,554","332,552","350,226","197,148","47,363","8,016","2,395","3,780"
County,2/21/2019,34,NJ,34027,Morris County,"91,317","401,400","1,759,470","373,430","430,452","213,054","275,175","309,385","126,453","19,103","6,941","1,872","3,605"
County,2/21/2019,34,NJ,34029,Ocean County,"108,658","491,154","2,347,600","538,520","587,988","271,232","322,014","328,622","178,330","102,892","12,420","2,182","3,400"
County,2/21/2019,34,NJ,34031,Passaic County,"101,472","400,300","1,934,119","519,674","465,050","221,334","309,016","316,042","75,145","15,740","8,466","2,067","1,585"
County,2/21/2019,34,NJ,34033,Salem County,"11,334","51,082","245,607","60,944","44,397","28,319","39,876","46,816","18,014","4,799","1,799",427,216
County,2/21/2019,34,NJ,34035,Somerset County,"57,095","273,057","1,200,056","255,538","286,934","142,574","200,182","202,005","90,061","14,435","4,071","1,653","2,603"
County,2/21/2019,34,NJ,34037,Sussex County,"24,030","116,339","517,945","101,472","113,782","56,293","76,145","96,503","56,452","14,004","2,198",387,709
County,2/21/2019,34,NJ,34039,Union County,"114,035","442,326","2,226,281","648,827","569,957","246,868","298,537","334,594","87,108","22,222","11,729","3,103","3,336"
County,2/21/2019,34,NJ,34041,Warren County,"18,257","87,199","417,459","97,884","96,429","44,606","49,037","70,211","38,703","18,061","1,684",310,534
County,2/22/2019,34,NJ,34001,Atlantic County,"51,092","213,526","1,014,970","246,459","239,171","116,962","183,381","137,429","53,644","29,816","6,421",656,"1,031"
County,2/22/2019,34,NJ,34003,Bergen County,"184,438","749,391","3,596,862","963,408","890,332","440,439","602,052","525,821","108,167","35,755","20,387","4,281","6,220"
County,2/22/2019,34,NJ,34005,Burlington County,"77,398","366,625","1,708,978","393,089","393,015","185,904","271,656","309,951","97,510","42,189","10,396","2,809","2,459"
County,2/22/2019,34,NJ,34007,Camden County,"100,124","405,404","1,991,429","534,353","458,055","251,541","325,872","296,111","75,888","34,248","11,332","1,783","2,246"
County,2/22/2019,34,NJ,34009,Cape May County,"20,314","71,963","342,568","86,538","67,259","49,349","64,186","46,623","17,319","8,073","2,293",315,613
County,2/22/2019,34,NJ,34011,Cumberland County,"26,712","123,799","608,376","139,972","157,022","74,521","82,865","87,148","52,288","10,731","3,160",333,336
County,2/22/2019,34,NJ,34013,Essex County,"171,874","625,448","3,105,477","901,798","843,664","379,699","437,499","412,236","82,419","24,898","14,610","4,066","4,588"
County,2/22/2019,34,NJ,34015,Gloucester County,"50,317","240,200","1,086,815","230,059","242,391","122,571","175,554","209,825","72,392","21,995","9,284","1,519","1,225"
County,2/22/2019,34,NJ,34017,Hudson County,"173,554","500,441","2,314,863","732,885","649,526","304,863","329,092","203,953","56,718","18,900","12,189","2,848","3,889"
County,2/22/2019,34,NJ,34019,Hunterdon County,"18,272","106,061","460,404","85,991","88,992","52,204","72,084","88,272","49,722","17,904","3,280",634,"1,321"
County,2/22/2019,34,NJ,34021,Mercer County,"73,376","295,305","1,422,401","371,978","376,503","177,029","210,544","171,244","71,239","34,775","5,681","1,540","1,868"
County,2/22/2019,34,NJ,34023,Middlesex County,"152,521","674,628","3,163,485","758,153","778,911","392,118","450,760","483,248","230,991","44,148","17,399","4,513","3,244"
County,2/22/2019,34,NJ,34025,Monmouth County,"108,883","510,572","2,391,011","545,317","589,720","304,862","343,449","353,834","191,584","46,096","9,576","2,586","3,987"
County,2/22/2019,34,NJ,34027,Morris County,"87,454","405,263","1,787,920","362,165","441,840","227,036","288,719","299,715","131,432","21,779","9,043","2,749","3,442"
County,2/22/2019,34,NJ,34029,Ocean County,"105,578","494,234","2,344,178","529,211","575,355","273,729","330,020","338,765","180,957","99,229","12,216","1,824","2,872"
County,2/22/2019,34,NJ,34031,Passaic County,"98,382","403,390","1,968,088","519,399","475,654","219,777","331,469","320,244","71,729","16,723","9,675","1,780","1,638"
County,2/22/2019,34,NJ,34033,Salem County,"11,039","51,377","242,096","54,379","42,294","27,311","40,288","53,276","18,113","4,004","1,833",390,208
County,2/22/2019,34,NJ,34035,Somerset County,"55,497","274,655","1,217,287","247,371","296,617","150,810","199,564","208,402","88,237","16,281","5,579","1,499","2,927"
County,2/22/2019,34,NJ,34037,Sussex County,"23,565","116,804","524,237","98,765","110,278","56,949","85,503","97,742","58,505","13,220","2,200",393,682
County,2/22/2019,34,NJ,34039,Union County,"109,678","446,683","2,214,530","624,228","573,936","250,099","308,370","326,525","87,601","22,828","12,988","3,927","4,028"
County,2/22/2019,34,NJ,34041,Warren County,"17,808","87,648","394,360","82,134","94,244","41,777","45,558","71,047","38,269","18,725","1,870",287,449
County,2/23/2019,34,NJ,34001,Atlantic County,"55,312","209,306","1,022,403","255,845","243,374","121,094","179,196","138,251","51,540","26,004","5,699",626,774
County,2/23/2019,34,NJ,34003,Bergen County,"195,416","738,413","3,614,743","992,411","946,586","453,690","582,965","470,098","101,615","37,771","21,217","3,883","4,507"
County,2/23/2019,34,NJ,34005,Burlington County,"82,460","361,563","1,685,180","399,147","392,179","193,014","279,127","283,535","83,487","39,606","10,703","2,484","1,898"
County,2/23/2019,34,NJ,34007,Camden County,"107,412","398,116","1,955,521","526,843","475,049","249,387","317,862","273,060","67,410","31,681","10,805","1,644","1,780"
County,2/23/2019,34,NJ,34009,Cape May County,"21,112","71,165","338,488","87,792","70,776","47,719","62,154","40,868","18,543","7,613","2,099",471,453
County,2/23/2019,34,NJ,34011,Cumberland County,"28,465","122,046","610,728","148,998","162,544","73,036","85,011","75,908","51,201","10,452","2,918",346,314
County,2/23/2019,34,NJ,34013,Essex County,"183,296","614,026","3,032,686","881,323","844,997","368,325","427,554","384,305","77,962","26,715","14,421","3,717","3,367"
County,2/23/2019,34,NJ,34015,Gloucester County,"53,556","236,961","1,104,063","247,277","251,094","134,601","177,603","198,503","61,700","22,341","8,681","1,234","1,029"
County,2/23/2019,34,NJ,34017,Hudson County,"185,705","488,290","2,315,237","744,969","663,075","289,272","309,609","209,173","57,579","22,873","12,631","3,050","3,006"
County,2/23/2019,34,NJ,34019,Hunterdon County,"19,950","104,383","467,694","90,892","98,770","53,268","76,680","84,451","41,552","17,036","3,321",712,"1,012"
County,2/23/2019,34,NJ,34021,Mercer County,"78,467","290,214","1,412,616","351,276","385,229","192,361","219,096","155,893","67,924","32,020","6,033","1,268","1,516"
County,2/23/2019,34,NJ,34023,Middlesex County,"163,633","663,516","3,139,145","773,262","788,360","400,886","471,929","424,778","209,992","46,428","16,179","4,548","2,783"
County,2/23/2019,34,NJ,34025,Monmouth County,"117,608","501,847","2,431,021","565,120","630,114","329,389","365,066","327,260","154,371","43,708","10,378","2,234","3,381"
County,2/23/2019,34,NJ,34027,Morris County,"93,065","399,652","1,860,715","398,860","485,483","236,517","304,990","280,117","116,054","24,669","8,746","2,318","2,961"
County,2/23/2019,34,NJ,34029,Ocean County,"113,484","486,328","2,309,531","526,861","591,382","289,643","331,977","318,715","147,619","88,551","10,035","1,727","3,021"
County,2/23/2019,34,NJ,34031,Passaic County,"104,759","397,013","1,952,725","520,872","492,096","226,982","322,975","286,582","70,660","19,794","9,162","1,861","1,741"
County,2/23/2019,34,NJ,34033,Salem County,"11,821","50,595","232,751","53,393","44,350","29,554","36,728","46,481","15,981","4,289","1,378",313,284
County,2/23/2019,34,NJ,34035,Somerset County,"58,918","271,234","1,230,714","254,338","310,608","160,207","203,714","192,611","81,152","17,447","6,750","1,663","2,224"
County,2/23/2019,34,NJ,34037,Sussex County,"25,345","115,024","517,023","98,271","113,416","62,971","84,326","94,788","46,307","13,274","2,744",263,663
County,2/23/2019,34,NJ,34039,Union County,"118,086","438,275","2,182,364","617,815","586,592","258,795","307,125","281,158","83,985","25,925","13,894","3,860","3,215"
County,2/23/2019,34,NJ,34041,Warren County,"19,545","85,911","410,129","92,443","96,826","46,401","55,297","69,404","31,315","15,856","1,841",317,429
State,2/17/2019,34,NJ,,,"1,904,836","6,976,457","30,240,154","7,978,947","7,944,459","3,620,426","4,463,120","4,044,547","1,419,293","522,631","175,064","34,316","37,351"
State,2/18/2019,34,NJ,,,"1,836,033","7,045,260","30,722,792","8,126,644","7,747,539","3,633,434","4,565,619","4,345,128","1,549,449","513,596","167,029","35,103","39,251"
State,2/19/2019,34,NJ,,,"1,729,106","7,152,187","32,632,006","9,027,958","7,908,308","3,709,621","4,670,640","4,805,753","1,777,311","511,951","147,318","33,362","39,784"
State,2/20/2019,34,NJ,,,"1,753,943","7,127,350","32,392,146","9,276,431","7,804,214","3,658,064","4,616,333","4,618,597","1,718,254","494,566","137,118","30,372","38,197"
State,2/21/2019,34,NJ,,,"1,778,349","7,102,944","33,842,123","8,763,900","8,356,631","3,976,276","5,049,955","5,024,803","1,858,783","565,011","163,156","36,373","47,235"
State,2/22/2019,34,NJ,,,"1,717,876","7,163,417","33,900,335","8,507,652","8,384,779","4,099,550","5,178,485","5,041,411","1,834,724","582,317","181,412","40,732","49,273"
State,2/23/2019,34,NJ,,,"1,837,415","7,043,878","33,825,477","8,628,008","8,672,900","4,217,112","5,200,984","4,635,939","1,637,949","574,053","179,635","38,539","40,358"
County,2/24/2019,34,NJ,34001,Atlantic County,"56,556","208,062","894,580","210,134","209,011","108,194","167,586","123,069","42,790","26,189","6,378",528,701
County,2/24/2019,34,NJ,34003,Bergen County,"207,664","726,165","3,160,519","871,061","861,393","381,637","488,753","395,967","94,933","36,021","22,050","3,557","5,147"
County,2/24/2019,34,NJ,34005,Burlington County,"86,782","357,241","1,509,866","356,742","368,360","182,565","242,985","239,659","69,257","37,920","8,871","1,808","1,699"
County,2/24/2019,34,NJ,34007,Camden County,"110,892","394,636","1,780,915","480,982","439,246","230,954","290,992","234,213","61,116","30,891","9,368","1,559","1,594"
County,2/24/2019,34,NJ,34009,Cape May County,"21,601","70,676","305,201","78,203","66,976","43,464","54,382","37,421","15,024","7,054","2,006",287,384
County,2/24/2019,34,NJ,34011,Cumberland County,"29,803","120,708","564,442","141,269","154,049","66,791","79,623","69,702","41,108","8,534","2,853",281,232
County,2/24/2019,34,NJ,34013,Essex County,"194,837","602,485","2,700,199","781,253","758,904","338,496","381,952","323,117","69,179","25,735","14,141","3,888","3,534"
County,2/24/2019,34,NJ,34015,Gloucester County,"56,532","233,985","1,018,190","228,718","243,626","129,612","165,490","171,354","53,256","17,126","6,728","1,277","1,003"
County,2/24/2019,34,NJ,34017,Hudson County,"192,347","481,648","2,048,966","646,033","601,752","243,562","286,849","182,045","50,224","19,778","12,266","2,786","3,671"
County,2/24/2019,34,NJ,34019,Hunterdon County,"20,098","104,235","418,905","79,903","101,556","49,193","60,060","75,689","33,276","15,191","2,841",404,792
