Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,1/2/2019,34,NJ,34035,Somerset County,"55,159","274,993","1,215,740","267,368","304,784","141,393","193,895","193,220","90,385","15,755","4,966","1,417","2,557"
County,1/2/2019,34,NJ,34037,Sussex County,"23,164","117,205","537,913","117,950","122,468","60,867","78,342","93,275","51,363","10,787","1,967",305,589
County,1/2/2019,34,NJ,34039,Union County,"111,069","445,292","2,099,637","628,386","538,878","229,537","272,621","300,453","91,104","20,159","10,951","2,521","5,027"
County,1/2/2019,34,NJ,34041,Warren County,"17,369","88,087","402,730","93,080","86,774","43,735","50,898","73,714","37,270","15,155","1,420",193,491
County,1/3/2019,34,NJ,34001,Atlantic County,"54,256","210,362","1,027,163","261,529","254,140","113,121","171,422","142,138","52,935","23,620","6,329",696,"1,233"
County,1/3/2019,34,NJ,34003,Bergen County,"188,930","744,899","3,575,810","1,090,738","866,853","405,445","551,317","487,699","111,340","34,530","15,558","4,689","7,641"
County,1/3/2019,34,NJ,34005,Burlington County,"81,493","362,530","1,709,737","430,845","383,502","185,150","263,900","303,986","92,653","34,890","10,665","2,144","2,002"
County,1/3/2019,34,NJ,34007,Camden County,"106,131","399,397","1,925,852","571,107","455,464","223,842","295,459","267,064","70,968","27,727","10,788","1,452","1,981"
County,1/3/2019,34,NJ,34009,Cape May County,"20,700","71,577","335,350","78,152","77,050","43,969","59,523","46,286","20,886","5,491","2,412",504,"1,077"
County,1/3/2019,34,NJ,34011,Cumberland County,"28,515","121,996","581,477","147,860","149,861","68,462","75,061","84,679","43,334","8,568","3,090",205,357
County,1/3/2019,34,NJ,34013,Essex County,"181,522","615,800","2,942,318","943,385","767,872","349,133","372,443","390,577","80,138","21,756","10,904","2,367","3,743"
County,1/3/2019,34,NJ,34015,Gloucester County,"52,897","237,620","1,139,400","279,077","261,691","135,976","171,746","198,224","67,227","15,779","7,518","1,084","1,078"
County,1/3/2019,34,NJ,34017,Hudson County,"181,747","492,248","2,298,780","852,060","616,154","274,467","271,018","189,700","59,659","17,866","10,025","2,482","5,349"
County,1/3/2019,34,NJ,34019,Hunterdon County,"19,442","104,891","510,936","104,386","110,484","61,584","75,322","89,337","46,607","17,829","3,431",608,"1,348"
County,1/3/2019,34,NJ,34021,Mercer County,"74,218","294,463","1,376,104","369,723","358,298","171,525","195,628","169,361","70,665","31,768","6,393","1,124","1,619"
County,1/3/2019,34,NJ,34023,Middlesex County,"159,716","667,433","3,097,890","832,057","750,060","363,118","417,479","450,004","229,182","34,567","14,062","3,218","4,143"
County,1/3/2019,34,NJ,34025,Monmouth County,"112,663","506,792","2,418,180","631,630","601,010","281,756","319,034","331,485","189,570","47,593","9,530","2,180","4,392"
County,1/3/2019,34,NJ,34027,Morris County,"90,607","402,110","1,847,817","438,032","472,428","212,018","275,905","293,870","123,409","21,211","6,994","1,295","2,655"
County,1/3/2019,34,NJ,34029,Ocean County,"110,070","489,742","2,340,283","569,509","589,938","252,886","311,582","321,735","184,561","91,591","10,597","1,915","5,969"
County,1/3/2019,34,NJ,34031,Passaic County,"100,998","400,774","1,941,695","575,384","456,644","216,425","287,810","308,616","71,289","17,031","5,852","1,498","1,146"
County,1/3/2019,34,NJ,34033,Salem County,"11,915","50,501","239,853","60,560","42,296","28,524","37,918","48,878","15,987","3,599","1,556",219,316
County,1/3/2019,34,NJ,34035,Somerset County,"57,319","272,833","1,235,771","276,913","311,853","147,773","198,883","190,950","86,997","14,222","4,601","1,384","2,195"
County,1/3/2019,34,NJ,34037,Sussex County,"24,107","116,262","544,562","118,562","124,478","58,085","81,741","95,300","51,734","11,719","1,990",416,537
County,1/3/2019,34,NJ,34039,Union County,"113,037","443,324","2,104,415","630,309","549,677","230,459","265,980","300,686","88,335","19,767","11,895","2,578","4,729"
County,1/3/2019,34,NJ,34041,Warren County,"18,625","86,831","414,667","92,239","90,850","41,795","55,929","74,918","39,928","16,714","1,555",189,550
County,1/4/2019,34,NJ,34001,Atlantic County,"54,167","210,451","1,031,239","270,247","255,143","107,327","171,872","143,646","50,595","23,711","6,896",737,"1,065"
County,1/4/2019,34,NJ,34003,Bergen County,"186,874","746,955","3,557,999","1,040,496","871,270","402,729","565,667","500,934","107,882","38,636","18,901","4,224","7,260"
County,1/4/2019,34,NJ,34005,Burlington County,"80,367","363,656","1,710,180","420,349","387,443","185,882","272,241","300,393","93,383","35,575","10,999","2,017","1,898"
County,1/4/2019,34,NJ,34007,Camden County,"104,422","401,106","1,883,238","519,595","454,937","229,597","295,402","270,849","71,041","27,394","11,204","1,349","1,870"
County,1/4/2019,34,NJ,34009,Cape May County,"21,164","71,113","362,021","95,602","80,755","45,357","62,038","47,835","20,624","6,128","2,199",514,969
County,1/4/2019,34,NJ,34011,Cumberland County,"28,083","122,428","601,461","155,212","154,741","72,867","71,657","87,883","46,365","9,042","3,121",247,326
County,1/4/2019,34,NJ,34013,Essex County,"177,703","619,619","2,997,985","935,389","795,639","354,665","391,974","398,544","79,908","23,610","12,048","2,520","3,688"
County,1/4/2019,34,NJ,34015,Gloucester County,"52,033","238,484","1,146,612","270,267","274,627","133,811","174,516","202,769","65,031","15,483","8,017","1,163",928
County,1/4/2019,34,NJ,34017,Hudson County,"179,378","494,617","2,288,713","809,154","615,131","286,226","287,895","194,619","58,703","19,327","10,206","2,456","4,996"
County,1/4/2019,34,NJ,34019,Hunterdon County,"19,539","104,794","494,913","92,857","112,692","59,017","75,599","92,047","40,726","16,593","3,511",574,"1,297"
County,1/4/2019,34,NJ,34021,Mercer County,"74,333","294,348","1,411,360","378,744","383,749","167,405","196,103","176,243","69,610","30,851","5,998","1,128","1,529"
County,1/4/2019,34,NJ,34023,Middlesex County,"158,223","668,926","3,135,026","850,439","757,164","370,076","430,684","444,968","221,594","37,646","14,965","3,239","4,251"
County,1/4/2019,34,NJ,34025,Monmouth County,"112,272","507,183","2,430,614","605,187","612,292","297,661","327,570","343,799","179,483","46,830","10,721","2,535","4,536"
County,1/4/2019,34,NJ,34027,Morris County,"90,549","402,168","1,887,805","431,282","489,707","231,342","280,661","294,237","125,057","23,471","7,582","1,656","2,810"
County,1/4/2019,34,NJ,34029,Ocean County,"109,767","490,045","2,339,791","544,400","590,119","256,803","325,321","322,884","191,921","89,798","10,641","1,802","6,102"
County,1/4/2019,34,NJ,34031,Passaic County,"99,396","402,376","1,956,532","557,742","467,541","230,708","303,653","302,076","66,383","17,651","8,089","1,360","1,329"
County,1/4/2019,34,NJ,34033,Salem County,"11,986","50,430","245,338","58,220","46,758","29,451","43,015","47,154","14,938","3,463","1,879",166,294
County,1/4/2019,34,NJ,34035,Somerset County,"57,629","272,523","1,285,488","293,889","324,888","152,682","206,869","195,259","86,819","15,815","5,805","1,479","1,983"
County,1/4/2019,34,NJ,34037,Sussex County,"24,669","115,700","554,949","115,853","126,173","66,476","83,918","94,126","54,037","11,322","2,149",296,599
County,1/4/2019,34,NJ,34039,Union County,"112,628","443,733","2,112,866","635,619","543,520","231,621","277,729","297,075","86,130","21,368","12,505","2,389","4,910"
County,1/4/2019,34,NJ,34041,Warren County,"18,665","86,791","414,289","90,881","85,734","49,540","52,862","75,708","39,865","17,191","1,690",301,517
County,1/5/2019,34,NJ,34001,Atlantic County,"56,207","208,411","999,920","258,169","248,928","110,532","175,419","131,806","45,549","22,070","6,054",452,941
County,1/5/2019,34,NJ,34003,Bergen County,"195,754","738,075","3,538,887","1,040,228","907,174","428,990","544,102","434,225","109,266","42,850","19,330","4,714","8,008"
County,1/5/2019,34,NJ,34005,Burlington County,"85,664","358,359","1,671,823","420,013","393,653","201,526","264,484","270,321","71,675","36,237","10,332","1,843","1,739"
County,1/5/2019,34,NJ,34007,Camden County,"111,483","394,045","1,866,151","529,373","463,343","245,321","282,827","237,772","65,234","28,563","10,511","1,467","1,740"
County,1/5/2019,34,NJ,34009,Cape May County,"21,784","70,493","337,722","84,946","74,640","45,333","57,767","46,848","19,303","5,286","2,288",624,687
County,1/5/2019,34,NJ,34011,Cumberland County,"29,556","120,955","574,553","146,036","151,923","69,484","74,131","80,354","40,632","8,768","2,658",197,370
County,1/5/2019,34,NJ,34013,Essex County,"189,022","608,300","2,943,527","930,670","794,793","354,601","383,213","361,412","75,182","25,320","11,924","2,526","3,886"
County,1/5/2019,34,NJ,34015,Gloucester County,"54,645","235,872","1,141,543","282,652","277,859","138,224","177,784","188,684","50,497","17,164","7,031",815,833
County,1/5/2019,34,NJ,34017,Hudson County,"188,913","485,082","2,253,262","792,993","639,476","264,117","270,748","192,580","55,498","19,718","11,347","2,437","4,348"
County,1/5/2019,34,NJ,34019,Hunterdon County,"20,239","104,094","490,253","94,155","113,093","64,817","77,669","84,559","34,106","15,941","4,055",473,"1,385"
