Date,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips
12/25/2020,Monmouth County,"204,784","416,570","1,179,644"
12/25/2020,Morris County,"170,721","323,507","824,464"
12/25/2020,Ocean County,"193,226","408,425","1,120,491"
12/25/2020,Passaic County,"177,506","325,804","886,340"
12/25/2020,Salem County,"19,846","42,761","120,154"
12/25/2020,Somerset County,"111,566","219,598","595,632"
12/25/2020,Sussex County,"44,886","95,913","226,357"
12/25/2020,Union County,"205,291","352,776","957,171"
12/25/2020,Warren County,"33,540","72,239","171,284"
12/26/2020,Atlantic County,"84,190","181,239","743,232"
12/26/2020,Bergen County,"325,703","610,989","2,773,317"
12/26/2020,Burlington County,"143,474","301,910","1,263,294"
12/26/2020,Camden County,"174,491","332,587","1,379,345"
12/26/2020,Cape May County,"32,869","59,691","240,381"
12/26/2020,Cumberland County,"43,256","107,716","500,592"
12/26/2020,Essex County,"288,391","511,376","2,165,384"
12/26/2020,Gloucester County,"89,290","202,118","878,533"
12/26/2020,Hudson County,"276,400","399,661","1,701,263"
12/26/2020,Hunterdon County,"34,865","89,849","396,759"
12/26/2020,Mercer County,"123,181","246,630","1,061,275"
12/26/2020,Middlesex County,"265,100","564,585","2,427,468"
12/26/2020,Monmouth County,"196,510","424,844","2,060,276"
12/26/2020,Morris County,"162,922","331,306","1,414,331"
12/26/2020,Ocean County,"183,192","418,459","1,773,796"
12/26/2020,Passaic County,"166,493","336,817","1,425,758"
12/26/2020,Salem County,"19,483","43,124","175,911"
12/26/2020,Somerset County,"103,284","227,880","969,982"
12/26/2020,Sussex County,"42,925","97,874","389,465"
12/26/2020,Union County,"193,988","364,079","1,491,221"
12/26/2020,Warren County,"30,844","74,935","297,195"
12/20/2020,,"2,959,329","5,949,191","23,164,320"
12/21/2020,,"2,872,738","6,035,782","26,786,363"
12/22/2020,,"2,912,506","5,996,014","28,925,789"
12/23/2020,,"2,936,375","5,972,145","30,313,450"
12/24/2020,,"2,969,146","5,939,374","26,462,104"
12/25/2020,,"3,153,998","5,754,522","15,605,997"
12/26/2020,,"2,980,851","5,927,669","25,528,769"
12/27/2020,Somerset County,"109,174","221,990","862,006"
12/27/2020,Atlantic County,"81,286","184,143","760,473"
12/27/2020,Bergen County,"337,213","599,479","2,428,645"
12/27/2020,Burlington County,"144,857","300,527","1,247,160"
12/27/2020,Camden County,"175,345","331,733","1,386,698"
12/27/2020,Cape May County,"32,126","60,434","247,348"
12/27/2020,Cumberland County,"44,006","106,966","446,634"
12/27/2020,Essex County,"283,435","516,332","2,086,645"
12/27/2020,Gloucester County,"91,085","200,323","824,875"
12/27/2020,Hudson County,"281,642","394,419","1,554,378"
12/27/2020,Hunterdon County,"36,273","88,441","351,487"
12/27/2020,Mercer County,"126,303","243,508","1,002,007"
12/27/2020,Middlesex County,"281,747","547,938","2,181,097"
12/27/2020,Monmouth County,"201,546","419,808","1,786,540"
12/27/2020,Morris County,"166,728","327,500","1,318,449"
12/27/2020,Ocean County,"198,403","403,248","1,627,065"
12/27/2020,Passaic County,"159,987","343,323","1,406,384"
12/27/2020,Salem County,"17,924","44,683","192,424"
12/27/2020,Sussex County,"43,672","97,127","389,886"
12/27/2020,Union County,"194,442","363,625","1,470,478"
12/27/2020,Warren County,"30,963","74,816","293,417"
12/28/2020,Atlantic County,"76,471","188,958","850,401"
12/28/2020,Bergen County,"292,937","643,755","2,839,128"
12/28/2020,Burlington County,"131,743","313,641","1,426,068"
12/28/2020,Camden County,"161,352","345,726","1,546,313"
12/28/2020,Cape May County,"29,902","62,658","288,073"
12/28/2020,Cumberland County,"39,664","111,308","496,488"
12/28/2020,Essex County,"256,289","543,478","2,359,775"
12/28/2020,Gloucester County,"83,308","208,100","922,493"
12/28/2020,Hudson County,"262,329","413,732","1,794,996"
12/28/2020,Hunterdon County,"32,869","91,845","391,627"
12/28/2020,Mercer County,"116,398","253,413","1,104,797"
12/28/2020,Middlesex County,"258,348","571,337","2,436,914"
12/28/2020,Monmouth County,"180,954","440,400","2,014,945"
12/28/2020,Morris County,"152,736","341,492","1,480,800"
12/28/2020,Ocean County,"178,304","423,347","1,860,891"
12/28/2020,Passaic County,"144,937","358,373","1,568,595"
12/28/2020,Salem County,"15,854","46,753","215,500"
12/28/2020,Somerset County,"99,448","231,716","971,678"
12/28/2020,Sussex County,"38,510","102,289","441,941"
12/28/2020,Union County,"176,349","381,718","1,678,921"
12/28/2020,Warren County,"28,334","77,445","339,317"
12/29/2020,Atlantic County,"75,783","189,646","861,472"
12/29/2020,Bergen County,"288,480","648,212","2,885,352"
12/29/2020,Burlington County,"129,119","316,265","1,426,142"
12/29/2020,Camden County,"159,734","347,344","1,579,787"
12/29/2020,Cape May County,"29,487","63,073","287,182"
12/29/2020,Cumberland County,"40,376","110,596","494,987"
12/29/2020,Essex County,"254,395","545,372","2,432,933"
12/29/2020,Gloucester County,"81,384","210,024","945,575"
12/29/2020,Hudson County,"258,744","417,317","1,882,114"
12/29/2020,Hunterdon County,"31,959","92,755","401,651"
12/29/2020,Mercer County,"115,054","254,757","1,117,147"
12/29/2020,Middlesex County,"256,459","573,226","2,480,088"
12/29/2020,Monmouth County,"179,141","442,213","2,015,784"
12/29/2020,Morris County,"150,820","343,408","1,502,604"
12/29/2020,Ocean County,"174,617","427,034","1,880,601"
12/29/2020,Passaic County,"139,462","363,848","1,607,394"
12/29/2020,Salem County,"15,845","46,762","217,842"
12/29/2020,Somerset County,"97,765","233,399","975,512"
12/29/2020,Sussex County,"37,443","103,356","444,608"
12/29/2020,Union County,"172,145","385,922","1,734,223"
12/29/2020,Warren County,"27,533","78,246","336,406"
12/30/2020,Atlantic County,"73,065","192,364","895,789"
12/30/2020,Bergen County,"282,168","654,524","2,968,611"
12/30/2020,Burlington County,"126,452","318,932","1,474,473"
12/30/2020,Camden County,"156,431","350,647","1,623,333"
12/30/2020,Cape May County,"28,681","63,879","301,758"
12/30/2020,Cumberland County,"39,183","111,789","515,869"
12/30/2020,Essex County,"251,287","548,480","2,499,799"
12/30/2020,Gloucester County,"78,557","212,851","979,133"
12/30/2020,Hudson County,"254,329","421,732","1,940,776"
12/30/2020,Hunterdon County,"31,604","93,110","411,543"
12/30/2020,Mercer County,"112,720","257,091","1,156,573"
12/30/2020,Middlesex County,"249,966","579,719","2,572,438"
12/30/2020,Monmouth County,"172,074","449,280","2,097,081"
12/30/2020,Morris County,"144,461","349,767","1,559,031"
12/30/2020,Ocean County,"172,504","429,147","1,929,083"
12/30/2020,Passaic County,"138,462","364,848","1,659,508"
12/30/2020,Salem County,"15,185","47,422","228,319"
12/30/2020,Somerset County,"95,960","235,204","1,013,261"
12/30/2020,Sussex County,"37,184","103,615","460,986"
12/30/2020,Union County,"170,646","387,421","1,796,388"
12/30/2020,Warren County,"27,380","78,399","353,620"
12/31/2020,Atlantic County,"73,211","192,218","898,977"
12/31/2020,Bergen County,"286,622","650,070","2,823,136"
12/31/2020,Burlington County,"125,308","320,076","1,424,523"
12/31/2020,Camden County,"154,032","353,046","1,636,736"
12/31/2020,Cape May County,"28,676","63,884","299,252"
12/31/2020,Cumberland County,"38,349","112,623","540,872"
12/31/2020,Essex County,"252,384","547,383","2,424,823"
12/31/2020,Gloucester County,"78,696","212,712","969,093"
12/31/2020,Hudson County,"258,857","417,204","1,865,166"
12/31/2020,Hunterdon County,"31,340","93,374","379,441"
12/31/2020,Mercer County,"114,300","255,511","1,137,335"
12/31/2020,Middlesex County,"252,896","576,789","2,438,887"
12/31/2020,Monmouth County,"177,752","443,602","1,956,736"
12/31/2020,Morris County,"149,064","345,164","1,458,884"
12/31/2020,Ocean County,"174,576","427,075","1,865,158"
12/31/2020,Passaic County,"142,999","360,311","1,568,445"
12/31/2020,Salem County,"14,821","47,786","229,221"
12/31/2020,Somerset County,"97,805","233,359","953,661"
12/31/2020,Sussex County,"37,184","103,615","438,467"
12/31/2020,Union County,"172,473","385,594","1,697,218"
12/31/2020,Warren County,"26,754","79,025","337,897"
1/1/2021,Atlantic County,"85,238","180,191","709,090"
1/1/2021,Bergen County,"351,178","585,514","2,111,034"
1/1/2021,Burlington County,"153,055","292,329","1,098,662"
1/1/2021,Camden County,"184,266","322,812","1,233,185"
1/1/2021,Cape May County,"33,827","58,733","231,573"
1/1/2021,Cumberland County,"44,564","106,408","419,713"
1/1/2021,Essex County,"294,006","505,761","1,861,713"
1/1/2021,Gloucester County,"97,201","194,207","735,460"
1/1/2021,Hudson County,"295,633","380,428","1,425,513"
1/1/2021,Hunterdon County,"39,623","85,091","292,781"
1/1/2021,Mercer County,"132,376","237,435","896,947"
1/1/2021,Middlesex County,"292,590","537,095","1,923,771"
1/1/2021,Monmouth County,"214,930","406,424","1,526,543"
1/1/2021,Morris County,"181,570","312,658","1,130,719"
1/1/2021,Ocean County,"206,774","394,877","1,457,386"
1/1/2021,Passaic County,"167,536","335,774","1,215,895"
1/1/2021,Salem County,"18,840","43,767","173,819"
1/1/2021,Somerset County,"116,512","214,652","746,294"
1/1/2021,Sussex County,"46,356","94,443","347,618"
1/1/2021,Union County,"207,121","350,946","1,260,186"
1/1/2021,Warren County,"33,081","72,698","257,981"
1/2/2021,Atlantic County,"76,021","189,408","861,797"
1/2/2021,Bergen County,"296,156","640,536","2,816,779"
1/2/2021,Burlington County,"129,645","315,739","1,435,908"
1/2/2021,Camden County,"158,701","348,377","1,597,004"
1/2/2021,Cape May County,"30,364","62,196","288,505"
1/2/2021,Cumberland County,"39,766","111,206","511,023"
1/2/2021,Essex County,"258,295","541,472","2,417,931"
1/2/2021,Gloucester County,"82,472","208,936","953,729"
1/2/2021,Hudson County,"262,100","413,961","1,863,184"
1/2/2021,Hunterdon County,"33,258","91,456","396,745"
1/2/2021,Mercer County,"115,845","253,966","1,143,529"
1/2/2021,Middlesex County,"257,349","572,336","2,480,347"
1/2/2021,Monmouth County,"180,643","440,711","1,976,632"
1/2/2021,Morris County,"151,441","342,787","1,489,485"
1/2/2021,Ocean County,"181,141","420,510","1,821,752"
1/2/2021,Passaic County,"145,906","357,404","1,576,155"
1/2/2021,Salem County,"16,143","46,464","223,240"
1/2/2021,Somerset County,"98,309","232,855","982,056"
1/2/2021,Sussex County,"39,323","101,476","436,716"
1/2/2021,Union County,"177,070","380,997","1,696,796"
1/2/2021,Warren County,"28,617","77,162","335,472"
12/27/2020,,"3,004,890","5,903,630","23,602,821"
12/28/2020,,"2,729,615","6,178,905","26,760,831"
12/29/2020,,"2,689,136","6,219,384","27,239,854"
12/30/2020,,"2,632,796","6,275,724","28,164,573"
12/31/2020,,"2,662,029","6,246,491","27,078,702"
1/1/2021,,"3,159,483","5,749,037","20,813,486"
1/2/2021,,"2,731,114","6,177,406","27,033,069"
